latitude,longitude,timestamp,traj_id
20.8284,260.4291,1695332651.0,0
21.0948,260.6597,1695332656.0,0
21.3366,260.8701,1695332661.0,0
21.5781,261.08119999999997,1695332666.0,0
21.8434,261.3144,1695332672.0,0
22.0842,261.5271,1695332677.0,0
22.3247,261.7407,1695332682.0,0
22.5888,261.9766,1695332687.0,0
22.8286,262.19190000000003,1695332692.0,0
23.092,262.4297,1695332698.0,0
23.331,262.6468,1695332703.0,0
23.5697,262.8648,1695332708.0,0
23.8318,263.1055,1695332713.0,0
24.0698,263.32529999999997,1695332718.0,0
24.3311,263.5682,1695332724.0,0
24.5682,263.7899,1695332729.0,0
24.8049,264.0125,1695332734.0,0
25.0648,264.2584,1695332740.0,0
25.3007,264.483,1695332745.0,0
25.5597,264.73109999999997,1695332750.0,0
25.7948,264.9578,1695332755.0,0
26.0529,265.20820000000003,1695332761.0,0
26.287,265.4369,1695332766.0,0
26.5207,265.6666,1695332771.0,0
26.7773,265.9205,1695332776.0,0
27.0101,266.1524,1695332781.0,0
27.2656,266.4086,1695332787.0,0
27.4974,266.6427,1695332792.0,0
27.7287,266.8779,1695332797.0,0
27.9827,267.1379,1695332802.0,0
28.213,267.3753,1695332807.0,0
28.4659,267.6379,1695332813.0,0
28.6952,267.8777,1695332818.0,0
28.924,268.1187,1695332823.0,0
29.1751,268.3852,1695332828.0,0
29.4029,268.6286,1695332833.0,0
29.6528,268.8978,1695332839.0,0
29.8794,269.14369999999997,1695332844.0,0
30.1055,269.3909,1695332849.0,0
30.3536,269.6642,1695332854.0,0
30.5785,269.914,1695332859.0,0
30.8253,270.1902,1695332865.0,0
31.049,270.4427,1695332870.0,0
31.2722,270.6964,1695332875.0,0
31.517,270.977,1695332880.0,0
31.739,271.2335,1695332885.0,0
31.9603,271.4913,1695332890.0,0
32.2031,271.7765,1695332896.0,0
32.4231,272.0372,1695332901.0,0
32.6644,272.32550000000003,1695332906.0,0
32.8831,272.58910000000003,1695332911.0,0
33.1012,272.8541,1695332916.0,0
33.3403,273.1473,1695332922.0,0
33.557,273.4153,1695332927.0,0
33.7729,273.6847,1695332932.0,0
34.0097,273.9828,1695332937.0,0
34.2243,274.25530000000003,1695332942.0,0
34.4595,274.5569,1695332948.0,0
34.6726,274.8326,1695332953.0,0
34.9061,275.1377,1695332958.0,0
